publisher: beginning loop
publishing #1: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])
publishing #72: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #73: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #74: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #75: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #76: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #77: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #78: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #79: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #80: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #81: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #82: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #83: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #84: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #85: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #86: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #87: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #88: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #89: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #90: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #91: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #92: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #93: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #94: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #95: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #96: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #97: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #98: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #99: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #100: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #101: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #102: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #103: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #104: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #105: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #106: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #107: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #108: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #109: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

